time,source,target,sourceId,targetId
1,0,10,n0,n10
1,0,12,n0,n12
1,0,16,n0,n16
1,1,3,n1,n3
1,1,6,n1,n6
1,1,15,n1,n15
1,2,10,n2,n10
1,2,11,n2,n11
1,2,16,n2,n16
1,3,1,n3,n1
1,3,6,n3,n6
1,3,16,n3,n16
1,4,10,n4,n10
1,4,11,n4,n11
1,4,16,n4,n16
1,5,3,n5,n3
1,5,7,n5,n7
1,5,12,n5,n12
1,6,3,n6,n3
1,6,11,n6,n11
1,6,16,n6,n16
1,7,5,n7,n5
1,7,9,n7,n9
1,7,10,n7,n10
1,8,10,n8,n10
1,8,11,n8,n11
1,8,16,n8,n16
1,9,0,n9,n0
1,9,6,n9,n6
1,9,14,n9,n14
1,10,8,n10,n8
1,10,11,n10,n11
1,10,16,n10,n16
1,11,2,n11,n2
1,11,10,n11,n10
1,11,16,n11,n16
1,12,0,n12,n0
1,12,5,n12,n5
1,12,14,n12,n14
1,13,6,n13,n6
1,13,8,n13,n8
1,13,9,n13,n9
1,14,4,n14,n4
1,14,9,n14,n9
1,14,10,n14,n10
1,15,3,n15,n3
1,15,8,n15,n8
1,15,10,n15,n10
1,16,3,n16,n3
1,16,8,n16,n8
1,16,11,n16,n11
2,0,8,n0,n8
2,0,12,n0,n12
2,0,13,n0,n13
2,1,3,n1,n3
2,1,6,n1,n6
2,1,16,n1,n16
2,2,11,n2,n11
2,2,14,n2,n14
2,2,16,n2,n16
2,3,1,n3,n1
2,3,8,n3,n8
2,3,16,n3,n16
2,6,3,n6,n3
2,6,11,n6,n11
2,6,16,n6,n16
2,7,9,n7,n9
2,7,12,n7,n12
2,8,10,n8,n10
2,8,13,n8,n13
2,8,16,n8,n16
2,9,0,n9,n0
2,9,6,n9,n6
2,9,12,n9,n12
2,10,2,n10,n2
2,10,8,n10,n8
2,10,16,n10,n16
2,11,2,n11,n2
2,11,6,n11,n6
2,11,8,n11,n8
2,12,0,n12,n0
2,13,3,n13,n3
2,13,6,n13,n6
2,13,8,n13,n8
2,14,2,n14,n2
2,14,3,n14,n3
2,15,8,n15,n8
2,15,10,n15,n10
2,15,16,n15,n16
2,16,3,n16,n3
2,16,8,n16,n8
3,0,10,n0,n10
3,0,12,n0,n12
3,0,13,n0,n13
3,1,3,n1,n3
3,1,6,n1,n6
3,1,16,n1,n16
3,2,11,n2,n11
3,2,16,n2,n16
3,3,1,n3,n1
3,3,16,n3,n16
3,4,0,n4,n0
3,4,12,n4,n12
3,4,16,n4,n16
3,5,0,n5,n0
3,5,12,n5,n12
3,6,1,n6,n1
3,6,11,n6,n11
3,6,16,n6,n16
3,7,3,n7,n3
3,7,5,n7,n5
3,7,16,n7,n16
3,9,5,n9,n5
3,9,6,n9,n6
3,9,12,n9,n12
3,10,2,n10,n2
3,10,16,n10,n16
3,11,1,n11,n1
3,11,6,n11,n6
3,12,0,n12,n0
3,12,4,n12,n4
3,12,5,n12,n5
3,13,5,n13,n5
3,15,13,n15,n13
3,15,16,n15,n16
3,16,3,n16,n3
3,16,4,n16,n4
4,0,10,n0,n10
4,0,12,n0,n12
4,0,13,n0,n13
4,1,3,n1,n3
4,1,15,n1,n15
4,1,16,n1,n16
4,2,3,n2,n3
4,2,11,n2,n11
4,2,16,n2,n16
4,3,1,n3,n1
4,3,16,n3,n16
4,4,0,n4,n0
4,4,12,n4,n12
4,4,16,n4,n16
4,5,0,n5,n0
4,6,1,n6,n1
4,6,11,n6,n11
4,9,6,n9,n6
4,9,12,n9,n12
4,9,14,n9,n14
4,10,11,n10,n11
4,10,16,n10,n16
4,11,1,n11,n1
4,11,6,n11,n6
4,12,0,n12,n0
4,12,4,n12,n4
4,12,5,n12,n5
4,13,0,n13,n0
4,13,16,n13,n16
4,14,1,n14,n1
4,14,3,n14,n3
4,14,9,n14,n9
4,15,11,n15,n11
4,15,16,n15,n16
4,16,3,n16,n3
4,16,4,n16,n4
5,0,10,n0,n10
5,0,12,n0,n12
5,0,13,n0,n13
5,1,3,n1,n3
5,1,4,n1,n4
5,1,11,n1,n11
5,2,3,n2,n3
5,2,11,n2,n11
5,2,16,n2,n16
5,3,1,n3,n1
5,3,8,n3,n8
5,3,16,n3,n16
5,4,0,n4,n0
5,4,12,n4,n12
5,4,16,n4,n16
5,5,0,n5,n0
5,5,7,n5,n7
5,5,12,n5,n12
5,6,3,n6,n3
5,6,8,n6,n8
5,6,11,n6,n11
5,7,4,n7,n4
5,7,5,n7,n5
5,7,12,n7,n12
5,8,3,n8,n3
5,8,5,n8,n5
5,8,16,n8,n16
5,9,11,n9,n11
5,9,14,n9,n14
5,9,16,n9,n16
5,10,8,n10,n8
5,10,11,n10,n11
5,10,16,n10,n16
5,11,1,n11,n1
5,11,6,n11,n6
5,11,8,n11,n8
5,12,0,n12,n0
5,12,4,n12,n4
5,12,7,n12,n7
5,13,5,n13,n5
5,13,8,n13,n8
5,13,11,n13,n11
5,14,11,n14,n11
5,14,15,n14,n15
5,14,16,n14,n16
5,15,8,n15,n8
5,15,11,n15,n11
5,15,13,n15,n13
5,16,3,n16,n3
5,16,4,n16,n4
5,16,8,n16,n8
6,0,12,n0,n12
6,0,13,n0,n13
6,0,16,n0,n16
6,1,3,n1,n3
6,1,11,n1,n11
6,1,16,n1,n16
6,2,6,n2,n6
6,2,11,n2,n11
6,2,16,n2,n16
6,3,1,n3,n1
6,3,8,n3,n8
6,3,16,n3,n16
6,5,0,n5,n0
6,5,7,n5,n7
6,5,12,n5,n12
6,6,3,n6,n3
6,6,8,n6,n8
6,6,11,n6,n11
6,7,3,n7,n3
6,7,5,n7,n5
6,7,12,n7,n12
6,8,5,n8,n5
6,8,16,n8,n16
6,9,11,n9,n11
6,9,16,n9,n16
6,11,1,n11,n1
6,11,3,n11,n3
6,11,6,n11,n6
6,12,0,n12,n0
6,12,5,n12,n5
6,12,7,n12,n7
6,13,6,n13,n6
6,13,8,n13,n8
6,15,8,n15,n8
6,15,11,n15,n11
6,15,16,n15,n16
6,16,3,n16,n3
6,16,8,n16,n8
7,0,12,n0,n12
7,0,13,n0,n13
7,0,16,n0,n16
7,1,0,n1,n0
7,1,3,n1,n3
7,1,11,n1,n11
7,2,5,n2,n5
7,2,11,n2,n11
7,2,16,n2,n16
7,3,1,n3,n1
7,3,8,n3,n8
7,3,16,n3,n16
7,4,8,n4,n8
7,4,12,n4,n12
7,4,16,n4,n16
7,5,0,n5,n0
7,5,7,n5,n7
7,5,8,n5,n8
7,6,3,n6,n3
7,6,8,n6,n8
7,6,11,n6,n11
7,7,3,n7,n3
7,7,5,n7,n5
7,7,13,n7,n13
7,8,4,n8,n4
7,8,5,n8,n5
7,8,16,n8,n16
7,9,5,n9,n5
7,9,11,n9,n11
7,9,16,n9,n16
7,10,8,n10,n8
7,10,11,n10,n11
7,10,16,n10,n16
7,11,1,n11,n1
7,11,6,n11,n6
7,11,8,n11,n8
7,12,0,n12,n0
7,12,5,n12,n5
7,12,7,n12,n7
7,13,0,n13,n0
7,13,6,n13,n6
7,13,8,n13,n8
7,14,8,n14,n8
7,14,11,n14,n11
7,14,15,n14,n15
7,15,3,n15,n3
7,15,11,n15,n11
7,15,16,n15,n16
7,16,3,n16,n3
7,16,4,n16,n4
7,16,8,n16,n8
8,0,12,n0,n12
8,0,13,n0,n13
8,0,16,n0,n16
8,1,3,n1,n3
8,1,11,n1,n11
8,1,16,n1,n16
8,2,5,n2,n5
8,2,6,n2,n6
8,2,16,n2,n16
8,3,1,n3,n1
8,3,8,n3,n8
8,3,16,n3,n16
8,4,0,n4,n0
8,4,8,n4,n8
8,4,12,n4,n12
8,5,0,n5,n0
8,5,7,n5,n7
8,5,12,n5,n12
8,6,3,n6,n3
8,6,8,n6,n8
8,6,11,n6,n11
8,7,5,n7,n5
8,7,13,n7,n13
8,7,14,n7,n14
8,8,4,n8,n4
8,8,5,n8,n5
8,8,16,n8,n16
8,9,6,n9,n6
8,9,11,n9,n11
8,9,16,n9,n16
8,10,2,n10,n2
8,10,8,n10,n8
8,10,16,n10,n16
8,11,1,n11,n1
8,11,6,n11,n6
8,11,8,n11,n8
8,12,0,n12,n0
8,12,5,n12,n5
8,12,7,n12,n7
8,13,0,n13,n0
8,13,8,n13,n8
8,13,10,n13,n10
8,14,5,n14,n5
8,14,8,n14,n8
8,14,15,n14,n15
8,15,3,n15,n3
8,15,11,n15,n11
8,15,16,n15,n16
8,16,3,n16,n3
8,16,4,n16,n4
8,16,8,n16,n8
9,0,12,n0,n12
9,0,13,n0,n13
9,0,16,n0,n16
9,1,3,n1,n3
9,1,11,n1,n11
9,1,16,n1,n16
9,2,5,n2,n5
9,2,11,n2,n11
9,2,16,n2,n16
9,3,1,n3,n1
9,3,8,n3,n8
9,3,16,n3,n16
9,4,0,n4,n0
9,4,8,n4,n8
9,4,16,n4,n16
9,5,0,n5,n0
9,5,7,n5,n7
9,5,12,n5,n12
9,6,1,n6,n1
9,6,8,n6,n8
9,6,11,n6,n11
9,7,0,n7,n0
9,7,5,n7,n5
9,7,13,n7,n13
9,8,3,n8,n3
9,8,5,n8,n5
9,8,16,n8,n16
9,9,6,n9,n6
9,9,7,n9,n7
9,9,16,n9,n16
9,10,8,n10,n8
9,10,11,n10,n11
9,10,16,n10,n16
9,11,1,n11,n1
9,11,6,n11,n6
9,11,8,n11,n8
9,12,0,n12,n0
9,12,5,n12,n5
9,12,7,n12,n7
9,13,0,n13,n0
9,13,8,n13,n8
9,13,11,n13,n11
9,14,5,n14,n5
9,14,8,n14,n8
9,14,15,n14,n15
9,15,8,n15,n8
9,15,11,n15,n11
9,15,16,n15,n16
9,16,3,n16,n3
9,16,4,n16,n4
9,16,8,n16,n8
10,0,5,n0,n5
10,0,12,n0,n12
10,0,16,n0,n16
10,1,3,n1,n3
10,1,11,n1,n11
10,1,16,n1,n16
10,2,6,n2,n6
10,2,11,n2,n11
10,2,16,n2,n16
10,3,1,n3,n1
10,3,5,n3,n5
10,3,16,n3,n16
10,4,0,n4,n0
10,4,8,n4,n8
10,4,12,n4,n12
10,5,0,n5,n0
10,5,7,n5,n7
10,5,12,n5,n12
10,6,2,n6,n2
10,6,10,n6,n10
10,6,11,n6,n11
10,7,0,n7,n0
10,7,5,n7,n5
10,7,13,n7,n13
10,8,5,n8,n5
10,8,13,n8,n13
10,8,16,n8,n16
10,9,7,n9,n7
10,9,11,n9,n11
10,9,16,n9,n16
10,10,8,n10,n8
10,10,11,n10,n11
10,10,16,n10,n16
10,11,1,n11,n1
10,11,6,n11,n6
10,11,8,n11,n8
10,12,0,n12,n0
10,12,4,n12,n4
10,12,5,n12,n5
10,13,0,n13,n0
10,13,8,n13,n8
10,13,11,n13,n11
10,14,3,n14,n3
10,14,15,n14,n15
10,14,16,n14,n16
10,15,8,n15,n8
10,15,11,n15,n11
10,15,16,n15,n16
10,16,3,n16,n3
10,16,4,n16,n4
10,16,8,n16,n8
11,0,10,n0,n10
11,0,12,n0,n12
11,0,13,n0,n13
11,1,3,n1,n3
11,1,11,n1,n11
11,1,16,n1,n16
11,2,5,n2,n5
11,2,11,n2,n11
11,2,16,n2,n16
11,3,1,n3,n1
11,3,5,n3,n5
11,3,16,n3,n16
11,4,8,n4,n8
11,4,12,n4,n12
11,4,16,n4,n16
11,5,0,n5,n0
11,5,7,n5,n7
11,5,12,n5,n12
11,6,3,n6,n3
11,6,10,n6,n10
11,6,11,n6,n11
11,7,0,n7,n0
11,7,3,n7,n3
11,7,4,n7,n4
11,8,5,n8,n5
11,8,13,n8,n13
11,8,16,n8,n16
11,9,6,n9,n6
11,9,14,n9,n14
11,9,16,n9,n16
11,10,2,n10,n2
11,10,11,n10,n11
11,10,16,n10,n16
11,11,1,n11,n1
11,11,6,n11,n6
11,11,8,n11,n8
11,12,0,n12,n0
11,12,5,n12,n5
11,12,7,n12,n7
11,13,0,n13,n0
11,13,6,n13,n6
11,13,8,n13,n8
11,14,3,n14,n3
11,14,8,n14,n8
11,14,16,n14,n16
11,15,3,n15,n3
11,15,8,n15,n8
11,15,11,n15,n11
11,16,3,n16,n3
11,16,4,n16,n4
11,16,8,n16,n8
12,0,5,n0,n5
12,0,12,n0,n12
12,0,16,n0,n16
12,1,5,n1,n5
12,1,11,n1,n11
12,1,16,n1,n16
12,2,5,n2,n5
12,2,11,n2,n11
12,2,16,n2,n16
12,3,1,n3,n1
12,3,5,n3,n5
12,3,16,n3,n16
12,4,8,n4,n8
12,4,12,n4,n12
12,4,16,n4,n16
12,5,0,n5,n0
12,5,7,n5,n7
12,5,12,n5,n12
12,6,8,n6,n8
12,6,10,n6,n10
12,6,11,n6,n11
12,7,0,n7,n0
12,7,12,n7,n12
12,7,13,n7,n13
12,8,5,n8,n5
12,8,13,n8,n13
12,8,16,n8,n16
12,9,6,n9,n6
12,9,8,n9,n8
12,9,16,n9,n16
12,10,1,n10,n1
12,10,11,n10,n11
12,10,16,n10,n16
12,11,1,n11,n1
12,11,6,n11,n6
12,11,8,n11,n8
12,12,0,n12,n0
12,12,5,n12,n5
12,12,7,n12,n7
12,13,5,n13,n5
12,13,8,n13,n8
12,13,10,n13,n10
12,14,8,n14,n8
12,14,15,n14,n15
12,14,16,n14,n16
12,15,3,n15,n3
12,15,8,n15,n8
12,15,11,n15,n11
12,16,0,n16,n0
12,16,4,n16,n4
12,16,8,n16,n8
13,0,12,n0,n12
13,0,13,n0,n13
13,0,16,n0,n16
13,1,3,n1,n3
13,1,11,n1,n11
13,1,16,n1,n16
13,2,8,n2,n8
13,2,14,n2,n14
13,2,16,n2,n16
13,3,4,n3,n4
13,3,5,n3,n5
13,3,16,n3,n16
13,4,3,n4,n3
13,4,8,n4,n8
13,4,12,n4,n12
13,5,0,n5,n0
13,5,7,n5,n7
13,5,12,n5,n12
13,6,8,n6,n8
13,6,10,n6,n10
13,6,11,n6,n11
13,7,0,n7,n0
13,7,12,n7,n12
13,7,13,n7,n13
13,8,5,n8,n5
13,8,13,n8,n13
13,8,16,n8,n16
13,9,6,n9,n6
13,9,11,n9,n11
13,9,16,n9,n16
13,10,8,n10,n8
13,10,11,n10,n11
13,10,16,n10,n16
13,11,1,n11,n1
13,11,6,n11,n6
13,11,8,n11,n8
13,12,0,n12,n0
13,12,6,n12,n6
13,12,7,n12,n7
13,13,0,n13,n0
13,13,8,n13,n8
13,13,10,n13,n10
13,14,8,n14,n8
13,14,15,n14,n15
13,14,16,n14,n16
13,15,8,n15,n8
13,15,11,n15,n11
13,15,16,n15,n16
13,16,0,n16,n0
13,16,1,n16,n1
13,16,8,n16,n8
14,0,7,n0,n7
14,0,12,n0,n12
14,0,16,n0,n16
14,1,3,n1,n3
14,1,8,n1,n8
14,1,16,n1,n16
14,2,11,n2,n11
14,2,14,n2,n14
14,2,16,n2,n16
14,3,4,n3,n4
14,3,5,n3,n5
14,3,16,n3,n16
14,4,3,n4,n3
14,4,8,n4,n8
14,4,12,n4,n12
14,5,7,n5,n7
14,5,8,n5,n8
14,5,12,n5,n12
14,6,11,n6,n11
14,6,13,n6,n13
14,6,16,n6,n16
14,7,0,n7,n0
14,7,3,n7,n3
14,7,12,n7,n12
14,8,5,n8,n5
14,8,13,n8,n13
14,8,16,n8,n16
14,9,0,n9,n0
14,9,6,n9,n6
14,9,12,n9,n12
14,10,1,n10,n1
14,10,11,n10,n11
14,10,16,n10,n16
14,11,1,n11,n1
14,11,6,n11,n6
14,11,8,n11,n8
14,12,0,n12,n0
14,12,5,n12,n5
14,12,7,n12,n7
14,13,5,n13,n5
14,13,6,n13,n6
14,13,8,n13,n8
14,14,8,n14,n8
14,14,11,n14,n11
14,14,16,n14,n16
14,15,3,n15,n3
14,15,8,n15,n8
14,15,11,n15,n11
14,16,0,n16,n0
14,16,3,n16,n3
14,16,8,n16,n8
15,1,3,n1,n3
15,1,8,n1,n8
15,1,16,n1,n16
15,2,11,n2,n11
15,2,14,n2,n14
15,2,16,n2,n16
15,3,4,n3,n4
15,3,5,n3,n5
15,3,16,n3,n16
15,4,3,n4,n3
15,4,8,n4,n8
15,4,12,n4,n12
15,5,7,n5,n7
15,5,8,n5,n8
15,5,12,n5,n12
15,6,11,n6,n11
15,6,13,n6,n13
15,6,16,n6,n16
15,7,3,n7,n3
15,7,12,n7,n12
15,8,5,n8,n5
15,8,13,n8,n13
15,8,16,n8,n16
15,9,6,n9,n6
15,9,12,n9,n12
15,10,1,n10,n1
15,10,11,n10,n11
15,10,16,n10,n16
15,11,1,n11,n1
15,11,6,n11,n6
15,11,8,n11,n8
15,12,5,n12,n5
15,12,7,n12,n7
15,13,5,n13,n5
15,13,6,n13,n6
15,13,8,n13,n8
15,14,8,n14,n8
15,14,11,n14,n11
15,14,16,n14,n16
15,15,3,n15,n3
15,15,8,n15,n8
15,15,11,n15,n11
15,16,3,n16,n3
15,16,8,n16,n8